epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,735.008,1.31419,2.74391,1.4037,0.56624,0.56698,0.59707,0.41709,1.01534,1.71206,1.14339,0.000195771,0.000195771,0.000195771
2,1429.41,1.27675,1.83369,1.36664,0.61238,0.69485,0.69617,0.46298,1.01714,1.44967,1.14909,0.000352986,0.000352986,0.000352986
3,2118.56,1.23397,1.55781,1.32671,0.66373,0.70856,0.72285,0.48649,0.99387,1.19008,1.12763,0.000471392,0.000471392,0.000471392
4,2802.24,1.19282,1.33861,1.29452,0.79178,0.75969,0.80074,0.52724,0.99915,1.02468,1.12727,0.000413364,0.000413364,0.000413364
5,3484.44,1.15969,1.17495,1.26652,0.81791,0.76382,0.8381,0.58398,0.93367,0.90041,1.08049,0.000355152,0.000355152,0.000355152
6,4168.34,1.1108,1.0494,1.23802,0.77239,0.79926,0.82538,0.57046,0.8832,0.8102,1.06973,0.00029694,0.00029694,0.00029694
7,4850.96,1.06838,0.9493,1.20845,0.82481,0.82213,0.85954,0.60652,0.84254,0.76167,1.04557,0.000238728,0.000238728,0.000238728
8,5544.64,1.03394,0.87131,1.18665,0.8312,0.8687,0.89193,0.6396,0.81366,0.67016,1.02991,0.000180516,0.000180516,0.000180516
9,6916.41,1.01157,0.8125,1.16702,0.83546,0.86976,0.90197,0.66436,0.79285,0.62876,1.01537,0.000122304,0.000122304,0.000122304
10,7605.48,0.97799,0.74707,1.1499,0.83786,0.86711,0.89828,0.65756,0.77501,0.61341,1.00671,6.4092e-05,6.4092e-05,6.4092e-05
